Rank,Name,Country,Age,Net Worth ($bil)
1,Carlos Slim Helu & family,Mexico,72,69
2,Bill Gates,United States,56,61
3,Warren Buffett,United States,81,44
4,Bernard Arnault,France,63,41
5,Amancio Ortega,Spain,75,37.5
6,Larry Ellison,United States,67,36
7,Eike Batista,Brazil,55,30
8,Stefan Persson,Sweden,64,26
9,Li Ka-shing,Hong Kong,83,25.5
10,Karl Albrecht,German,92,25.4
11,Christy Walton & family,United States,57,25.3
12,Charles Koch,United States,76,25
12,David Koch,United States,71,25
14,Sheldon Adelson,United States,78,24.9
15,Liliane Bettencourt,France,89,24
16,Jim Walton,United States,64,23.7
17,Alice Walton,United States,62,23.3
18,S. Robson Walton,United States,68,23.1
19,Mukesh Ambani,India,54,22.3
20,Michael Bloomberg,United States,70,22
21,Lakshmi Mittal,India,61,20.7
22,George Soros,United States,81,20
23,Michele Ferrero  family,Italy,85,19
24,Sergey Brin,United States,38,18.7
24,Larry Page,United States,39,18.7
26,eff Bezos,United States,48,18.4
27,Kwok Thomas and Raymond family,Hong Kong,0,18.3
28,Alisher Usmanov,Russia,58,18.1
29,Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,57,18
29,Lee Shau Kee,Hong Kong,84,18
29,Georgina Rinehart,Australia,58,18
32,Berthold and Theo Jr. Albrecht,German,0,17.8
32,Iris Fontbona  family,Chile,69,17.8
34,Michael Otto  family,German,68,17.6
35,David Thomson  family,Canada,54,17.5
35,Mark Zuckerberg,United States,27,17.5
37,Ricardo Salinas Pliego  family,Mexico,56,17.4
38,Alberto Bailleres Gonzalez  family,Mexico,80,16.5
39,Rinat Akhmetov,Ukraine,45,16
39,Cheng Yu-tung,Hong Kong,86,16
41,Michael Dell,United States,47,15.9
41,Vladimir Lisin,Russia,55,15.9
41,Azim Premji,India,66,15.9
44,Steve Ballmer,United States,56,15.7
45,Alexei Mordashov,Russia,46,15.3
46,Vladimir Potanin,Russia,51,14.5
47,Phil Knight,United States,74,14.4
48,Paul Allen,United States,59,14.2
48,German Larrea Mota Velasco  family,Mexico,58,14.2
50,Carl Icahn,United States,76,14
50,Birgit Rausing family,Sweden,88,14
52,Forrest Mars Jr,United States,80,13.8
52,Jacqueline Mars,United States,72,13.8
52,John Mars,United States,75,13.8
52,Joseph Safra,Brazil,73,13.8
56,Vagit Alekperov,Russia,61,13.5
57,Mikhail Fridman,Russia,47,13.4
58,Mikhail Prokhorov,Russia,46,13.2
59,Susanne Klatten,German,49,13
59,Francois Pinault  family,France,75,13
61,Mohammed Al Amoudi,Saudi Arabia,67,12.5
61,Anne Cox Chambers,United States,92,12.5
61,ohn Paulson,United States,56,12.5
64,Robert Kuok,Malaysia,88,12.4
64,Luis Carlos Sarmiento,Colombia,79,12.4
64,Viktor Vekselberg,Russia,54,12.4
67,Antonio Ermirio de Moraes & family,Brazil,83,12.2
68,Roman Abramovich,Russia,45,12.1
69,Donald Bren,United States,79,12
69,Jorge Paulo Lemann,Brazil,72,12
69,Ronald Perelman,United States,69,12
72,Len Blavatnik,United States,54,11.9
72,Leonid Mikhelson,Russia,56,11.9
74,Leonardo Del Vecchio,Italy,76,11.5
75,John Fredriksen,Cyprus,67,11.3
76,Aliko Dangote,Nigeria,54,11.2
76,Stefan Quandt,German,45,11.2
78,Gerald Cavendish Grosvenor  family, United Kingdom ,60,11
78,Harold Hamm,United States,66,11
80,Savitri Jindal & family,India,62,10.9
81,Andrey Melnichenko,Russia,40,10.8
82,James Simons,United States,73,10.7
83,Ernesto Bertarelli  family,Switzerland,46,10.6
84,/Jack Taylor  family,United States,89,10.4
85,Abigail Johnson,United States,50,10.3
86,Robin Li,China,43,10.2
86,Eliodoro Bernardo and Patricia Matte,Chile,0,10.2
88,Ray Dalio,United States,62,10
88,George Kaiser,United States,69,10
88,Johanna Quandt,German,85,10
88,Hans Rausing,Sweden,86,10
88,Tadashi Yanai & family,Japan,63,10
93,Serge Dassault & family,France,86,9.9
93,Ananda Krishnan,Malaysia,73,9.9
95,Klaus-Michael Kuhne,German,74,9.8
96,Pallonji Mistry,Ireland,82,9.7
97,Alejandro Santo Domingo Davila,Colombia,35,9.5
98,Horst Paulmann  family,Chile,77,9.3
99,Gennady Timchenko,Russia,59,9.1
100,Laurene Powell Jobs  family,United States,48,9
100,David and Simon Reuben,United Kingdom ,69,9
100,Dmitry Rybolovlev,Russia,45,9
100,Harold Simmons,United States,80,9
