Rank,Name,Net Worth ($bil),Country,Age
1,Carlos Slim Helu   family,73,Mexico,73
2,Bill Gates,67,United States,57
3,Amancio Ortega,57,Spain,76
4,Warren Buffett,53.5,United States,82
5,Larry Ellison,43,United States,68
6,Charles Koch,34,United States,77
6,David Koch,34,United States,72
8,Li Ka-shing,31,Hong Kong,84
9,Liliane Bettencourt,30,France,90
10,Bernard Arnault,29,France,64
11,Christy Walton   family,28.2,United States,58
12,Stefan Persson,28,Sweden,65
13,Michael Bloomberg,27,United States,71
14,Jim Walton,26.7,United States,65
15,Sheldon Adelson,26.5,United States,79
16,Alice Walton,26.3,United States,63
17,S. Robson Walton,26.1,United States,69
18,Karl Albrecht,26,Germany,93
19,Jeff Bezos,25.2,United States,49
20,Larry Page,23,United States,40
21,Sergey Brin  ,22.8,United States,39
22,Mukesh Ambani,21.5,India,55
23,Michele Ferrero   family,20.4,Italy,86
24,Lee Shau Kee,20.3,Hong Kong,85
24,David Thomson   family,20.3,Canada,55
26,Carl Icahn,20,United States,77
26,Thomas   Raymond Kwok   family,20,Hong Kong,0
28,Prince Alwaleed Bin Talal Alsaud,19.6,Saudi Arabia,58
29,Dieter Schwarz,19.5,Germany,73
30,George Soros,19.2,United States,82
31,Theo Jr.   family Albrecht,18.9,Germany,62
32,Alberto Bailleres Gonzalez   family,18.2,Mexico,81
33,Jorge Paulo Lemann,17.8,Brazil,73
34,Alisher Usmanov,17.6,Russia,59
35,Iris Fontbona   family,17.4,Chile,70
36,Forrest Mars Jr,17,United States,81
36,Jacqueline Mars,17,United States,73
36,John Mars,17,United States,76
36,Georgina Rinehart,17,Australia,59
40,German Larrea Mota Velasco   family,16.7,Mexico,59
41,Mikhail Fridman,16.5,Russia,48
41,Lakshmi Mittal,16.5,India,62
43,Aliko Dangote,16.1,Nigeria,55
44,Len Blavatnik,16,United States,55
44,Cheng Yu-tung,16,Hong Kong,87
46,Joseph Safra,15.9,Brazil,74
47,Rinat Akhmetov,15.4,Ukraine,46
47,Leonid Mikhelson,15.4,Russia,57
49,Michael Dell,15.3,United States,48
49,Leonardo Del Vecchio,15.3,Italy,77
51,Steve Ballmer,15.2,United States,57
52,Viktor Vekselberg,15.1,Russia,55
53,Paul Allen,5,United States,60
53,Francois Pinault   family,15,France,76
55,Vagit Alekperov,14.8,Russia,62
56,Phil Knight,14.4,United States,75
56,Andrey Melnichenko,14.4,Russia,41
58,Dhanin Chearavanont   family,14.3,Thailand,73
58,Susanne Klatten,14.3,Germany,50
58,Vladimir Potanin,14.3,Russia,52
61,Michael Otto   family,14.2,Germany,69
62,Vladimir Lisin,14.1,Russia,56
62,Gennady Timchenko,14.1,Russia,60
64,Luis Carlos Sarmiento,13.9,Colombia,80
65,Mohammed Al Amoudi,13.5,Saudi Arabia,68
66,Tadashi Yanai   family,13.3,Japan,64
66,Mark Zuckerberg,13.3,United States,28
68,Henry Sy   family,13.2,Philippines,88
69,Donald Bren,13,United States,80
69,Serge Dassault   family,13,France,87
69,Lee Kun-Hee,139,South Korea,71
69,Mikhail Prokhorov,139,Russia,47
73,Alexey Mordashov,12.89,Russia,47
74,Antonio Ermirio de Moraes   family,12.79,Brazil,84
74,Abigail Johnson,12.79,United States,51
76,Ray Dalio,12.59,United States,63
76,Robert Kuok,12.59,Malaysia,89
78,Miuccia Prada,12.49,Italy,63
79,Ronald Perelman,12.29,United States,70
80,Anne Cox Chambers,129,United States,93
81,Stefan Quandt,11.9,Germany,46
82,Ananda Krishnan,11.7,Malaysia,74
82,Alejandro Santo Domingo Davila,11.7,Colombia,36
82,James Simons,11.7,United States,74
82,Charoen Sirivadhanabhakdi,11.7,Thailand,68
86,Zong Qinghou,11.6,China,67
87,Dirce Navarro De Camargo   family,11.5,Brazil,0
87,John Fredriksen,11.5,Cyprus,68
89,Gerald Cavendish Grosvenor   family,11.4,United Kingdom,61
90,Harold Hamm,11.3,United State,67
91,Rupert Murdoch,11.2,United States,82
91,John Paulson,11.2,United States,57
91,Azim Premj,11.2,India,67
94,Ernesto Bertarelli   family,11,Switzerland,47
94,Charlene de Carvalho-Heineken,11,Netherlands,58
94,Hans Rausing,11,Sweden,87
94,Jack Taylor   family,11,United States,90
98,Lui Che Woo,10.7,Hong Kong,83
98,Laurene Powell Jobs   family,10.7,United States,49
100,Eike Batista,10.6,Brazil,56
